Model,Fold,R2,RMSE_detrended
gbr,1,-0.3117786821353401,0.0666327281315479
gbr,2,-11.379613826238446,0.0803801103840776
gbr,3,0.2377100416536284,0.0714096114624061
gbr,4,-0.0904472346766505,0.0954660979385227
gbr,5,-0.2387890329917323,0.0384008796495186
rfr,1,-0.160939003565989,0.06268476637094
rfr,2,-10.969910454756322,0.0790388295464179
rfr,3,0.2610945483136506,0.0703057759933659
rfr,4,-0.2188326417101314,0.1009296767261051
rfr,5,-0.2889805605753288,0.0391710921740934
svr,1,-0.3507656539877097,0.0676156636611974
svr,2,-11.598501108680413,0.0810876079014865
svr,3,0.1371169828154548,0.0759753188586859
svr,4,-0.3839910023145465,0.1075507584185822
svr,5,-1.8098413610748376,0.057834022212643
mlp,1,-2.276014452498161,3128.7994658444986
mlp,2,-3.134440404626384,3154.5348870736066
mlp,3,0.0937809457592716,3115.8416024187923
mlp,4,-0.3163592017249375,3598.7754027189035
mlp,5,0.2637697165485491,1452.2364065502975
