Feature,Importance
Volume_MA_10,0.44924291123263177
Vol_20,0.13025268143146462
Volume_Lag_1,0.08744203236797297
Volume_MA_5,0.05821522512251358
Volume_Lag_3,0.05787512867096911
MA_Ratio_20,0.052818391167559146
Volume_Lag_5,0.032244226674936184
Vol_10,0.025043092288665903
Volume_Ratio,0.023377845512347246
MA_Ratio_10,0.015386240568375002
Vol_5,0.012117511251060621
Daily_Range_Pct,0.008248620035457522
Return_Lag_10,0.007582628911550618
Return_Lag_3,0.006300594010799906
Return_Lag_5,0.005611231138808502
Vol_3,0.00489280535242386
Price_Open_Ratio,0.004794486523044026
Return_Lag_1,0.0045705799677032985
Return_Lag_2,0.00409333974842408
MA_Ratio_5,0.003363319207282319
Return_Today,0.0021937430166226197
MA_Ratio_3,0.0021861263356583705
DayOfWeek,0.002147239463728765
