Feature,Importance
Volume_MA_10,0.49242492755734685
Vol_20,0.14751332465930284
Volume_MA_5,0.057359564204741864
Volume_Lag_3,0.052714611276282276
MA_Ratio_20,0.043983275362749714
Volume_Lag_1,0.042398693170802956
Volume_Lag_5,0.02439116355674005
Vol_10,0.022754181785498692
Volume_Ratio,0.020164164140676177
MA_Ratio_10,0.01982892709626486
Vol_5,0.013749205673400095
Vol_3,0.009178157342217885
Daily_Range_Pct,0.008333611646315194
MA_Ratio_5,0.008214807225933053
Return_Lag_1,0.005171835534645523
Return_Lag_2,0.004920240643212833
Return_Lag_10,0.004755002022998744
Return_Lag_5,0.0046042202168379886
Return_Lag_3,0.0042943989600197595
Price_Open_Ratio,0.00428945329838178
MA_Ratio_3,0.00411446569980597
Return_Today,0.003640516621091626
DayOfWeek,0.0012012523047333682
