Date,Median,Lower_5,Upper_95
2026-01-01,135771.0,135771.0,135771.0
2026-01-02,136550.27281373576,134759.19043789178,138109.14215848438
2026-01-05,136317.91444743882,133650.40387122508,139233.51959854882
2026-01-06,136937.52870117573,133799.01079804654,140316.6101654108
2026-01-07,137484.01669901464,133557.9043494459,141774.29145924622
2026-01-08,137597.28444855183,132343.52920111976,142299.01278679128
2026-01-09,138342.6000247269,131885.32084325512,142253.5640631071
2026-01-12,138817.9208760151,131757.56222283145,143199.38589386875
2026-01-13,138921.01920559612,130830.78201404917,143118.67708850544
2026-01-14,139316.7650754348,131636.0895765923,144101.61172405528
2026-01-15,139139.15864800464,131983.74847552666,145329.62168974744
2026-01-16,139432.19645025293,132651.5840811729,146262.6125298511
2026-01-19,139415.89835115685,132451.75379046355,146512.8379109617
2026-01-20,139514.82678816677,132783.6151853871,147115.76263191353
2026-01-21,139844.1659071053,132604.13610031453,147397.60191715913
2026-01-22,140289.33928518696,132435.2711584264,148528.9456031583
2026-01-23,140259.87391054683,131881.96747969853,149337.37167853166
2026-01-26,140838.43223371851,131923.2919434249,150035.36060376553
2026-01-27,141053.99850910707,131422.63118802078,150961.33527590937
2026-01-28,141529.6270632451,131673.2070113381,151086.7390203845
2026-01-29,142167.4920146963,132012.01875166025,151535.21650818217
2026-01-30,142318.51430535744,132011.1384487247,151847.77175381753
2026-02-02,142861.03320250512,132243.7590480365,151941.26530427404
2026-02-03,142650.77609627362,132298.85714399655,153340.75032556368
2026-02-04,143596.21294292717,132109.4686356849,154707.12271708844
2026-02-05,144293.29744982894,131944.58470388642,154745.56214861857
2026-02-06,144453.83049280278,132395.562524948,155489.9922832527
2026-02-09,144799.3277194107,132223.0120595501,154567.70078589185
2026-02-10,144739.44650613813,132422.63652063496,155747.90215949205
2026-02-11,145717.39671766286,133118.27988182145,156525.67336279017
2026-02-12,145803.83936932657,132993.42572315913,157498.4566357713
2026-02-13,146759.57643688814,133876.53893916632,158993.55881581904
2026-02-16,146996.47798110676,132780.21348385423,160117.57790101308
2026-02-17,147008.00289885083,133270.20923351013,160872.69468143824
2026-02-18,147330.2506691409,132815.87944316326,160884.82738706772
2026-02-19,147832.66214112012,133448.67868000633,161156.05398718754
2026-02-20,148814.3426374648,132995.29475785792,161577.85163941825
2026-02-23,149140.2319002063,133558.50653135875,162564.81160394283
2026-02-24,149409.08928694157,133367.0684259068,163308.9673688066
2026-02-25,150138.4983351721,133581.50116011477,164376.63762879666
2026-02-26,150562.3172303358,133830.9368780315,165240.28938236609
2026-02-27,150675.55986615823,133728.84369833634,165335.65807589982
2026-03-02,150903.5041972212,133901.40828930552,166209.86167518917
2026-03-03,150799.31134113536,133502.3945463555,167037.08838995371
2026-03-04,150837.43424014465,134652.52241579827,166433.26072379804
2026-03-05,151546.19722114498,135346.93414645875,167939.40164783978
2026-03-06,152638.89995997772,134958.7312854841,168499.66413225085
2026-03-09,152637.19752944127,134875.8283853084,169326.81401651746
2026-03-10,152967.8946587434,135934.89386581912,169095.61617550757
2026-03-11,153840.30290697876,135789.25681518554,169899.78502115424
2026-03-12,154675.5155344371,136183.5321299254,169852.41636387593
2026-03-13,154653.57159844006,136446.01826082103,171314.07239262073
2026-03-16,155464.3458581584,136894.28270840997,172327.25773684675
2026-03-17,155477.4525759833,137379.5382165535,171972.15878749848
2026-03-18,155666.30764692905,137064.01203798107,172514.18841881905
2026-03-19,156460.94615030667,137026.22589199094,174368.3355682761
2026-03-20,156268.83129877583,138167.80009360093,174723.17221585888
2026-03-23,155679.93568821735,137779.80032521844,174808.47001484426
2026-03-24,156334.5343509009,138377.59622611795,176031.28430085137
2026-03-25,156612.7731649623,139230.81462240973,175667.00630142537
2026-03-26,156974.83344243455,138725.76720748548,176545.16288347097
