Date,Median,Lower_5,Upper_95,Path
2026-01-01,135771.0,135771.0,135771.0,135771.0
2026-01-02,136098.32774535177,134529.15453279435,138017.88841227462,135281.689752204
2026-01-05,136238.28236278813,133368.34817590908,138628.21798576784,135399.54779340033
2026-01-06,136013.02323421306,133088.95104092424,139265.44992288193,134632.62070670296
2026-01-07,135932.8851993402,131919.1018667306,140285.18315778568,134415.4059386957
2026-01-08,136324.90089376087,130773.13054741739,141174.42374941325,136517.04326401677
2026-01-09,136828.54733832536,130838.39748535096,141348.16611033792,136400.89689300212
2026-01-12,137562.77375622388,130235.11453699754,142217.39919889512,138466.67374155126
2026-01-13,137219.69935375347,130059.00047569239,142059.0686008109,136314.25690714875
2026-01-14,137207.186558804,129358.4577798548,143010.14488412577,136175.31754665333
2026-01-15,136750.70669286256,129542.0500815664,143399.82261893095,135463.68390658204
2026-01-16,137017.26700210993,130024.8175212186,144232.3200612917,134835.7439707222
2026-01-19,137649.8441869712,130229.95295066416,144620.5152362217,136363.43191023992
2026-01-20,137760.36956259987,129764.10143057175,146133.58556195124,136703.82381450094
2026-01-21,137670.25193664938,129816.5364393066,145155.4931244505,136749.45348132376
2026-01-22,137550.977325261,129700.50081237602,145503.0110642414,135763.3302492761
2026-01-23,137309.06523295253,128505.81572527767,146252.5393647419,136790.63674409708
2026-01-26,138443.32024433205,128540.59967127396,146622.06837015884,138417.80685792048
2026-01-27,138844.73402588972,128677.97902565809,147575.84893983902,138040.83691271616
2026-01-28,138787.48185414218,128618.59613903401,149049.58840951347,137579.65913347507
2026-01-29,139211.56969999726,128239.09819651506,148707.76802223755,137763.15292392593
2026-01-30,139369.89263360028,127176.17475910569,149965.12580808045,139586.56122833962
2026-02-02,139859.9073884476,127711.96816863972,150121.0866111973,139272.72006491298
2026-02-03,139574.73363393516,128551.58147187816,151098.25541752507,139010.96382385292
2026-02-04,140790.33202743193,128966.60444532076,151383.51985738825,138950.47272498888
2026-02-05,140676.99326048343,128024.48614950519,151826.1161035936,138576.20922646002
2026-02-06,141209.44933454585,128408.8657326638,151811.68285468416,139200.20272843036
2026-02-09,142097.32008821494,127797.50643040822,152232.8488217961,141734.35735435877
2026-02-10,141876.81461981058,127993.76428207253,154094.5591193242,143302.2762873757
2026-02-11,141785.12948053662,129155.43798466703,154857.68225674357,145231.3055387509
2026-02-12,142578.41223599092,128522.40317428522,155928.075404951,146681.2800450268
2026-02-13,143241.0456407775,129394.34430231153,157110.50516696088,146997.0052237113
2026-02-16,143628.83593603282,129084.70488510805,157312.8376773237,148134.40298171004
2026-02-17,144581.31541770842,129137.66212350235,158495.1619972677,148824.6100815199
2026-02-18,144418.08545462566,129016.46977414897,159213.36638471088,149110.4434612745
2026-02-19,145182.52043214958,129657.71850852133,159469.46300084415,150625.82707513456
2026-02-20,145099.48180189985,128931.3326309024,160024.78804090802,149605.18641108202
2026-02-23,145475.993272618,129198.93465999124,160410.6530110256,149647.40506451493
2026-02-24,145726.25061511528,128790.02599265885,161313.43564850744,151850.41687934456
2026-02-25,145892.24700376828,128796.5149083269,163166.98706446736,152404.70056510475
2026-02-26,146599.75940646348,129807.2234416037,163848.04975037675,151962.14532786698
2026-02-27,146968.93129357698,128767.0050845228,164104.02492732342,154646.72005842076
2026-03-02,147043.75043106818,129118.63071686089,165270.7216573413,153564.2510189531
